"type","buyAmount","buyCurrency","sellAmount","sellCurrency","feeAmount","feeCurrency","exchange","tradeGroup","comment","date"
"Mining",0.06645401000000001,"HNT2",,,,,"Test Wallet",,,"2021-02-03 19:19:00"
"Mining",0.07180955,"HNT2",,,,,"Test Wallet",,,"2021-02-04 00:16:38"
"Mining",0.06410657,"HNT2",,,,,"Test Wallet",,,"2021-02-04 04:19:43"
"Mining",0.140087,"HNT2",,,,,"Test Wallet",,,"2021-02-04 09:32:33"
"Mining",0.07570869,"HNT2",,,,,"Test Wallet",,,"2021-02-04 13:37:28"
"Mining",0.0760664,"HNT2",,,,,"Test Wallet",,,"2021-02-04 18:45:42"
"Mining",0.07016387,"HNT2",,,,,"Test Wallet",,,"2021-02-04 22:33:35"
"Mining",0.07228659,"HNT2",,,,,"Test Wallet",,,"2021-02-05 06:18:49"
"Mining",0.07496018,"HNT2",,,,,"Test Wallet",,,"2021-02-05 10:15:13"
"Mining",0.06814638,"HNT2",,,,,"Test Wallet",,,"2021-02-05 12:26:12"
"Mining",0.07920448000000001,"HNT2",,,,,"Test Wallet",,,"2021-02-05 15:12:47"
"Mining",0.08804986000000001,"HNT2",,,,,"Test Wallet",,,"2021-02-05 17:29:12"
"Mining",0.06243008,"HNT2",,,,,"Test Wallet",,,"2021-02-05 20:43:40"
"Mining",0.05836323,"HNT2",,,,,"Test Wallet",,,"2021-02-05 23:36:09"
"Mining",0.05868421,"HNT2",,,,,"Test Wallet",,,"2021-02-06 07:21:17"
"Mining",0.05793264,"HNT2",,,,,"Test Wallet",,,"2021-02-06 11:03:28"
"Mining",0.05788447,"HNT2",,,,,"Test Wallet",,,"2021-02-06 15:42:11"
"Mining",0.0541416,"HNT2",,,,,"Test Wallet",,,"2021-02-06 19:05:29"
"Mining",0.05532918,"HNT2",,,,,"Test Wallet",,,"2021-02-06 20:51:37"
"Mining",0.05838509,"HNT2",,,,,"Test Wallet",,,"2021-02-07 00:04:46"
"Mining",0.05608966,"HNT2",,,,,"Test Wallet",,,"2021-02-07 01:09:39"
"Mining",0.0549966,"HNT2",,,,,"Test Wallet",,,"2021-02-07 04:43:27"
"Mining",0.0553988,"HNT2",,,,,"Test Wallet",,,"2021-02-07 12:28:03"
"Mining",0.05487868,"HNT2",,,,,"Test Wallet",,,"2021-02-07 13:06:33"
"Mining",0.056976900000000004,"HNT2",,,,,"Test Wallet",,,"2021-02-07 17:06:58"
"Mining",0.05819146,"HNT2",,,,,"Test Wallet",,,"2021-02-07 17:45:28"
"Mining",0.0565038,"HNT2",,,,,"Test Wallet",,,"2021-02-07 22:11:44"
"Mining",0.1079006,"HNT2",,,,,"Test Wallet",,,"2021-02-08 07:06:19"
"Mining",0.06019322,"HNT2",,,,,"Test Wallet",,,"2021-02-08 20:59:06"
"Mining",0.061653650000000004,"HNT2",,,,,"Test Wallet",,,"2021-02-09 01:27:50"
"Mining",0.05859971,"HNT2",,,,,"Test Wallet",,,"2021-02-09 04:02:40"
"Mining",0.06067952,"HNT2",,,,,"Test Wallet",,,"2021-02-09 07:40:48"
"Mining",0.05742251,"HNT2",,,,,"Test Wallet",,,"2021-02-09 08:53:38"
"Mining",0.05953149,"HNT2",,,,,"Test Wallet",,,"2021-02-09 12:43:30"
"Mining",0.06922306,"HNT2",,,,,"Test Wallet",,,"2021-02-09 18:02:20"
"Mining",0.0530544,"HNT2",,,,,"Test Wallet",,,"2021-02-09 22:11:59"
"Mining",0.05661402,"HNT2",,,,,"Test Wallet",,,"2021-02-10 03:02:44"
"Mining",0.04858433,"HNT2",,,,,"Test Wallet",,,"2021-02-10 13:50:56"
"Mining",0.05633352,"HNT2",,,,,"Test Wallet",,,"2021-02-10 23:46:32"
"Mining",0.05251131,"HNT2",,,,,"Test Wallet",,,"2021-02-11 02:48:58"
"Mining",0.05481214,"HNT2",,,,,"Test Wallet",,,"2021-02-11 06:36:22"
"Mining",0.05581998,"HNT2",,,,,"Test Wallet",,,"2021-02-11 10:11:33"
"Mining",0.05692269,"HNT2",,,,,"Test Wallet",,,"2021-02-11 14:20:55"
"Mining",0.054319610000000004,"HNT2",,,,,"Test Wallet",,,"2021-02-11 18:45:35"
"Mining",0.06031082,"HNT2",,,,,"Test Wallet",,,"2021-02-11 20:48:02"
"Mining",0.05627882,"HNT2",,,,,"Test Wallet",,,"2021-02-11 22:29:50"
"Mining",0.05952946,"HNT2",,,,,"Test Wallet",,,"2021-02-12 02:51:12"
"Mining",0.05823325,"HNT2",,,,,"Test Wallet",,,"2021-02-12 06:49:01"
"Mining",0.06133558,"HNT2",,,,,"Test Wallet",,,"2021-02-12 10:25:13"
"Mining",0.056984190000000004,"HNT2",,,,,"Test Wallet",,,"2021-02-12 15:39:30"
"Mining",0.05554047,"HNT2",,,,,"Test Wallet",,,"2021-02-12 19:37:07"
"Mining",0.057320420000000004,"HNT2",,,,,"Test Wallet",,,"2021-02-12 23:54:45"
"Mining",0.052369820000000004,"HNT2",,,,,"Test Wallet",,,"2021-02-13 00:22:45"
"Mining",0.054044800000000004,"HNT2",,,,,"Test Wallet",,,"2021-02-13 03:33:54"
"Mining",0.05341041,"HNT2",,,,,"Test Wallet",,,"2021-02-13 07:42:50"
"Mining",0.05438407,"HNT2",,,,,"Test Wallet",,,"2021-02-13 11:34:16"
"Mining",0.05318134,"HNT2",,,,,"Test Wallet",,,"2021-02-13 15:51:29"
"Mining",0.055302250000000004,"HNT2",,,,,"Test Wallet",,,"2021-02-13 20:26:13"
"Mining",0.06004629,"HNT2",,,,,"Test Wallet",,,"2021-02-13 21:27:43"
"Mining",0.05735026,"HNT2",,,,,"Test Wallet",,,"2021-02-14 00:35:55"
"Mining",0.06006718,"HNT2",,,,,"Test Wallet",,,"2021-02-14 05:05:44"
"Mining",0.05711761,"HNT2",,,,,"Test Wallet",,,"2021-02-14 10:00:38"
"Mining",0.05922562,"HNT2",,,,,"Test Wallet",,,"2021-02-14 16:46:18"
"Mining",0.0904213,"HNT2",,,,,"Test Wallet",,,"2021-02-14 21:46:01"
"Mining",0.06011792,"HNT2",,,,,"Test Wallet",,,"2021-02-15 02:19:13"
"Mining",0.06121088,"HNT2",,,,,"Test Wallet",,,"2021-02-15 12:23:08"
"Mining",0.0628222,"HNT2",,,,,"Test Wallet",,,"2021-02-15 15:51:24"
"Mining",0.06016822,"HNT2",,,,,"Test Wallet",,,"2021-02-15 17:14:01"
"Mining",0.062459270000000004,"HNT2",,,,,"Test Wallet",,,"2021-02-15 20:11:06"
"Mining",0.06080681,"HNT2",,,,,"Test Wallet",,,"2021-02-15 21:22:46"
"Mining",0.05954128,"HNT2",,,,,"Test Wallet",,,"2021-02-16 05:33:17"
"Mining",0.12386306,"HNT2",,,,,"Test Wallet",,,"2021-02-16 08:53:02"
"Mining",0.06066677,"HNT2",,,,,"Test Wallet",,,"2021-02-16 12:59:32"
"Mining",0.06776644,"HNT2",,,,,"Test Wallet",,,"2021-02-16 20:26:03"
"Mining",0.05992612,"HNT2",,,,,"Test Wallet",,,"2021-02-17 00:40:43"
"Mining",0.05894763,"HNT2",,,,,"Test Wallet",,,"2021-02-17 08:17:48"
