Type,Buy Amount,Buy Currency,Sell Amount,Sell Currency,Fee,Fee Currency,Exchange,Trade Group,Comment,Date
Mining,1.654e-05,HNT2,,,,,Helium,,Block 837269,2021-05-09 12:39:42
Mining,1.3719300900000002,HNT2,,,,,Helium,,Block 837354,2021-05-09 13:54:02
Mining,1.39557014,HNT2,,,,,Helium,,Block 837504,2021-05-09 16:23:12
Mining,0.03826903,HNT2,,,,,Helium,,Block 837637,2021-05-09 18:55:07
Mining,0.07648538,HNT2,,,,,Helium,,Block 837696,2021-05-09 19:57:21
Mining,0.30885181,HNT2,,,,,Helium,,Block 837732,2021-05-09 20:35:40
Mining,0.26981636,HNT2,,,,,Helium,,Block 837888,2021-05-09 23:09:24
Mining,0.035905120000000006,HNT2,,,,,Helium,,Block 837928,2021-05-09 23:48:07
Mining,2.904e-05,HNT2,,,,,Helium,,Block 837962,2021-05-10 00:19:54
Mining,0.04334708,HNT2,,,,,Helium,,Block 838151,2021-05-10 03:35:58
Mining,0.94510714,HNT2,,,,,Helium,,Block 838199,2021-05-10 04:18:38
Mining,0.05722907,HNT2,,,,,Helium,,Block 838490,2021-05-10 08:48:37
Mining,0.19575139,HNT2,,,,,Helium,,Block 838664,2021-05-10 11:33:04
Mining,0.09729734,HNT2,,,,,Helium,,Block 838698,2021-05-10 12:05:36
Mining,0.04933998,HNT2,,,,,Helium,,Block 838880,2021-05-10 15:27:46
Mining,0.04933998,HNT2,,,,,Helium,,Block 838880,2021-05-10 15:27:46
Withdrawal,,,25.0,HNT2,0.019279627610092716,HNT2,Helium,,Block 838989,2021-05-10 17:56:45
Mining,0.05325853,HNT2,,,,,Helium,,Block 838993,2021-05-10 18:07:35
Mining,0.17177287,HNT2,,,,,Helium,,Block 839096,2021-05-10 19:46:51
Mining,1.01912978,HNT2,,,,,Helium,,Block 839146,2021-05-10 20:36:17
Mining,3.659e-05,HNT2,,,,,Helium,,Block 839200,2021-05-10 21:34:34
Mining,0.06133023,HNT2,,,,,Helium,,Block 839271,2021-05-10 22:51:48
Mining,0.9228740599999999,HNT2,,,,,Helium,,Block 839412,2021-05-11 02:48:59
Mining,0.0550648,HNT2,,,,,Helium,,Block 839476,2021-05-11 03:55:32
Mining,1.232e-05,HNT2,,,,,Helium,,Block 839761,2021-05-11 08:43:17
Withdrawal,,,21.0,HNT2,0.021571190011676174,HNT2,Helium,,Block 839779,2021-05-11 09:08:09
Mining,0.05006583,HNT2,,,,,Helium,,Block 839799,2021-05-11 09:29:06
Mining,0.03921083,HNT2,,,,,Helium,,Block 839834,2021-05-11 10:02:41
Mining,4.4279999999999996e-05,HNT2,,,,,Helium,,Block 839917,2021-05-11 11:27:03
Mining,0.04101964,HNT2,,,,,Helium,,Block 840052,2021-05-11 13:44:37
Mining,0.04331638,HNT2,,,,,Helium,,Block 840101,2021-05-11 14:40:20
Mining,4.486e-05,HNT2,,,,,Helium,,Block 840134,2021-05-11 15:22:42
Mining,0.04117505,HNT2,,,,,Helium,,Block 840332,2021-05-11 19:51:03
Mining,0.14167355,HNT2,,,,,Helium,,Block 840367,2021-05-11 20:51:29
Mining,2.682e-05,HNT2,,,,,Helium,,Block 840416,2021-05-11 22:08:21
Mining,0.05153755,HNT2,,,,,Helium,,Block 840483,2021-05-11 23:49:23
Mining,1.61160737,HNT2,,,,,Helium,,Block 840556,2021-05-12 01:36:26
Mining,0.04351472,HNT2,,,,,Helium,,Block 840622,2021-05-12 03:16:48
Mining,0.73648673,HNT2,,,,,Helium,,Block 840661,2021-05-12 04:05:15
Mining,0.04329163,HNT2,,,,,Helium,,Block 840844,2021-05-12 06:59:35
Mining,0.05281315,HNT2,,,,,Helium,,Block 840877,2021-05-12 07:28:32
Mining,0.053613,HNT2,,,,,Helium,,Block 841112,2021-05-12 11:13:16
Mining,0.26016041,HNT2,,,,,Helium,,Block 841200,2021-05-12 12:36:05
Mining,0.27511421,HNT2,,,,,Helium,,Block 841362,2021-05-12 15:09:26
Mining,0.04858996,HNT2,,,,,Helium,,Block 841554,2021-05-12 18:12:15
Mining,0.051585729999999996,HNT2,,,,,Helium,,Block 841622,2021-05-12 19:22:19
Mining,0.06309873,HNT2,,,,,Helium,,Block 841726,2021-05-12 21:34:59
Mining,1.5740000000000002e-05,HNT2,,,,,Helium,,Block 841849,2021-05-13 00:09:26
Mining,0.0476112,HNT2,,,,,Helium,,Block 841882,2021-05-13 00:56:03
Mining,0.64493892,HNT2,,,,,Helium,,Block 842066,2021-05-13 04:22:36
Mining,1.706e-05,HNT2,,,,,Helium,,Block 842101,2021-05-13 04:56:35
Mining,0.10616512,HNT2,,,,,Helium,,Block 842167,2021-05-13 05:58:59
Mining,2.642e-05,HNT2,,,,,Helium,,Block 842330,2021-05-13 09:30:48
Mining,0.05187763,HNT2,,,,,Helium,,Block 842369,2021-05-13 10:11:40
Mining,0.22051847000000002,HNT2,,,,,Helium,,Block 842437,2021-05-13 11:49:49
